サイト,所在地,価格(万円),土地面積(㎡),坪単価(万円/坪),地目,都市計画,再建築可否,再建築理由,検出日,フラグ,詳細URL,判定
SUUMO 土地 伊豆の国市,静岡県伊豆の国市四日町555-2,1355,224.0,20.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_77376229/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市寺家,1400,201.8,22.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_78731421/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市韮山多田富士見ニュータウン,150,311.0,1.6,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20187016/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市奈古谷エメラルドタウン,170,283.0,2.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_82693663/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市中,270,381.5,2.3,畑,—,×,掲載に再建築不可表記,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_78937214/,適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市韮山山木,300,616.0,1.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20083376/,適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市中,330,381.0,2.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_79025793/,適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市韮山山木,400,461.0,2.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_76404904/,適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市長岡,650,173.6,12.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_78583766/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市南條,680,73.2,30.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20572842/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市古奈,780,239.0,10.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20950952/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市古奈,780,239.0,10.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20920565/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市三福69-3他,820,109.9,24.7,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20504718/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市原木194,980,165.1,19.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20877811/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市長崎,990,200.7,16.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20818984/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市大仁,1080,172.0,20.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20346154/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市北江間,1080,168.8,21.2,宅地,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_94832790/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市長崎350-4,1150,201.0,18.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_72034398/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市長崎350-6,1150,201.0,18.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_75640261/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市長崎350-8,1180,201.5,19.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_75042663/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市三福,1200,201.8,19.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_71633187/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市長岡,1280,282.1,15.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_96501493/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市寺家,1290,241.0,17.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20315660/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市長崎350-4,1380,205.0,22.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_75042521/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市大仁,1380,342.3,13.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_76627283/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市大仁,1380,310.9,14.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20626944/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市三福69-4,1468,165.5,29.3,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20609438/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市三福171-10他,1600,172.1,30.7,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_75550290/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市中條400-1,2100,366.3,19.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_84674278/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市長岡,2480,1316.0,6.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20869771/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市天野110,2480,653.0,12.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_72137058/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市古奈,2580,396.0,21.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20764232/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市中,2730,1350.5,6.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_71149502/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市四日町897-1,2800,961.8,9.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_74062654/,不適合
SUUMO 土地 伊豆の国市,静岡県伊豆の国市富士見,3000,850.9,11.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_70162419/,不適合
